Asset No.,Description,Serial No.,Asset Status,Quantity,Location,Value,Category
MMPZ0024,Pantum Printer,20250426,Perfect,1,ADMIN OFFICE,250.00,Computer & Equipment
MMPZ0025,Parrot projector screen with tripod stand,S430494,Perfect,1,ADMIN OFFICE,250.00,Computer & Equipment
MMPZ0026,Paper shredder,,Broken,1,ADMIN OFFICE,0.00,Computer & Equipment
MMPZ0029,HP Office jet Pro 8600 All in one printer,CN2C4CWGZJ,Perfect,1,ADMIN OFFICE,405.00,Computer & Equipment
MMPZ0051,Capri fridge C350,2417,Perfect,1,ADMIN OFFICE,410.00,Computer & Equipment
MMPZ0047,HP Desktop computer set,TRF5340BHB,Perfect,1,ADMIN OFFICE,500.00,Computer & Equipment
MMPZ0052,Canonmixfy MB2040 Printer,ADSF23809,Faulty,1,ADMIN OFFICE,215.00,Computer & Equipment
MMPZ0046,Konica Minolta Bizhub 223MFP PRINTER,A149041100891,Perfect,1,YOUTH ROOM,1500.00,Computer & Equipment
MMPZ0008,Xerox WorkCentre 3210 printer,3244074617,Faulty,1,ADMIN OFFICE,680.00,Computer & Equipment
MMPZ0053,Sharp microwave,EB00484520315C15110179,Perfect,1,YOUTH ROOM,219.00,Computer & Equipment
MMPZ0041,Samsung TV 32 inch,OB6X3MFFCO1080M,Perfect,1,ADMIN OFFICE,449.00,Computer & Equipment
MMPZ0042,White Boarder 90mm*120mm,,Broken,1,YOUTH ROOM,0.00,Computer & Equipment
MMPZ0043,Samsung DVD player,ZVFZ1R1FAO1493L,Perfect,1,ADMIN OFFICE,205.00,Computer & Equipment
MMPZ0044,Comb bind binding machine,ZI05734P,Perfect,1,YOUTH ROOM,15.00,Computer & Equipment
MMPZ0056,Panasonic Landline Handset,4HALM668478,Perfect,1,DIRECTOR OFFICE,25.00,Computer & Equipment
MMPZ0057,TP Link Wi-Fi modem,216C544003631,Perfect,1,DIRECTOR OFFICE,25.00,Computer & Equipment
MMPZ0058,Panasonic Landline Handset,5HALM668478,Perfect,1,DIRECTOR OFFICE,25.00,Computer & Equipment
MMPZ0079,MAC Diesel Generator,,Perfect,1,SITE Ep,2700.00,Computer & Equipment
MMPZ0078,Banner,,Perfect,1,ADMIN OFFICE,50.00,Computer & Equipment
MMPZ0080,Roll-up banner,,Perfect,1,ADMIN OFFICE,70.00,Computer & Equipment
MMPZ,Epson printer,,Perfect,1,ADMIN OFFICE,200.00,Computer & Equipment
MMPZ,Acer Big White,DQBEBEA0010190082F3000,Perfect,1,YOUTH ROOM,760.00,Computer & Equipment
MMPZ,Acer Big White,DQBEBEA001019008483000,Perfect,1,ADMIN OFFICE,760.00,Computer & Equipment
MMPZ,Capri deep fridge,B122104785,Perfect,1,YOUTH ROOM,400.00,Computer & Equipment
MMPZ0059,HP Elite book laptop,5CG65038CR,Broken,1,ADMIN OFFICE,,Computer & Equipment
MMPZ0061,HP 255 G5 laptop,CND72338J9,Broken,1,ADMIN OFFICE,,Computer & Equipment
MMPZ,PHILIPS TV,,Perfect,1,YOUTH ROOM,0.00,Computer & Equipment
MMPZ,Microphone,,Perfect,1,ADMIN OFFICE,60.00,Computer & Equipment
MMPZ,Modem,222AOW3008813,Perfect,1,ADMIN OFFICE,220.00,Computer & Equipment
MMPZ,Lenovo mini laptop,SM-Y00ZNQYW,Perfect,1,PROGRAMMS,150.00,Computer & Equipment
MMPZ,Lenovo mini laptop,SM-YD-02MMNX,Perfect,1,ADMIN OFFICE,150.00,Computer & Equipment
MMPZ,HP Laptop,CND328155B,,1,PROGRAMMS SIQO,800.00,Computer & Equipment
MMPZ,HP laptop,CND3281RXF,Perfect,1,ADMIN OFFICE WARINDA,800.00,Computer & Equipment
MMPZ,HP Laptop,CND2064VKG,Perfect,1,PROGRAMMS KUMIRA,800.00,Computer & Equipment
MMPZ,Levovo,NXHNSEA00295012CE67600,Perfect,1,MLAUZI,,Computer & Equipment
MMPZ,Lenovo laptop,PW007996,Perfect,1,DIRECTOR CHIOMVU,1500.00,Computer & Equipment
MMPZ,LENOVO,,Perfect,1,PROGRAMMS FREDDY,670.00,Computer & Equipment
MMPZ,Party Speaker,DXC108,Perfect,1,ADMIN OFFICE,200.00,Computer & Equipment
MMPZ,Y6 Prime Phone,,Perfect,1,PROGRAMMING RUMBI,180.00,Computer & Equipment
MMPZ,Y6 Prime Phone,,Perfect,1,PROGRAMMING BRENDO,180.00,Computer & Equipment
MMPZ,Selfi-board,,Perfect,1,Programming,50.00,Computer & Equipment
MMPZ,A0 Carrying Bag,,Perfect,1,Admin,25.00,Computer & Equipment
MMPZ,Executive Desk brown,,Perfect,1,Director Office,390.00,Computer & Equipment
MMPZ,Regular Office desk brown,,Perfect,1,Director Office,195.00,Computer & Equipment
MMPZ,Z HP Laptop,5CG12810YQ,Perfect,1,Director,480.00,Computer & Equipment
MMPZ,Flip chart stand 1 legged,,Perfect,,Admin,120.00,Computer & Equipment
MMPZ,Ringlight,,Perfect,,Admin Office,60.00,Computer & Equipment
MMPZ,Wireless mic,,Perfect,1,Admin Office,40.00,Computer & Equipment
MMPZ,Three sitter couch orange,,Perfect,1,Youth Room,240.00,Computer & Equipment
MMPZ,Dust bin,,Perfect,1,Director Office,7.00,Computer & Equipment
MMPZ,MMPZ Executive banner,,Perfect,1,Admin Office,,Computer & Equipment
MMPZ,Smart biz Indoor moderm,,Perfect,1,Admin Office,,Computer & Equipment
MMPZ,Tripod stand,,Perfect,1,Admin Office,40.00,Computer & Equipment
MMPZ,Condenser,,Perfect,1,Admin Office,45.00,Computer & Equipment
MMPZ,Center Table,,Perfect,2,Youth Room,105.00,Computer & Equipment
MMPZ,Yellow shell chair,,Perfect,,Youth Room,140.00,Computer & Equipment
MMPZ,Branded Table cloth,,Perfect,1,Admin Office,30.00,Computer & Equipment
MMPZ,Foldable table,,Perfect,1,Admin Office,50.00,Computer & Equipment
MMPZ,Foldable chairs,,Perfect,3,Admin Office,25.00,Computer & Equipment
MMPZ,MMPZ Podcast Banner,,Perfect,1,Admin Office,120.00,Computer & Equipment
MMPZ,MMPZ Tear drop mental health Banner,,Perfect,1,Admin Office,,Computer & Equipment
MMPZ,Office Chairs swivel black leather,,Perfect,2,Admin Office,,Computer & Equipment
MMPZ,Netted visitors chairs,,Perfect,2,Directors Office,90.00,Computer & Equipment
MMPZ,Snake and ladders game,,Perfect,1,Youth room,100.00,Computer & Equipment
MMPZ0016,DESK,,Perfect,1,DIRECTOR OFFICE,,Computer & Equipment
MMPZ0017,SWIVEL CHAIR,,BROKEN,1,DIRECTOR OFFICE,,Computer & Equipment
MMPZ,STEEL CABINET,,Perfect,1,ADMIN OFFICE,200.00,Computer & Equipment
MMPZ,STEEL CABINET,,Perfect,1,DIRECTOR OFFICE,200.00,Computer & Equipment
MMPZ0021,SWIVEL CHAIR,,Perfect,1,ADMIN OFFICE,,Computer & Equipment
MMPZ,VISITORS CHAIR BLACK,,Perfect,1,ADMIN OFFICE,90.00,Computer & Equipment
MMPZ,VISITORS CHAIR BLACK,,BROKEN,1,ADMIN OFFICE,90.00,Computer & Equipment
MMPZ,STUDENT DESK,,Perfect,1,YOUTH ROOM,,Computer & Equipment
MMPZ,OFFICE DESK,,Perfect,1,YOUTH ROOM,,Computer & Equipment
MMPZ,POOL TABLE,,Perfect,1,YOUTH ROOM,220.00,Computer & Equipment
MMPZ,VISITORS CHAIR,,BROKEN,1,YOUTH ROOM,,Computer & Equipment
MMPZ,WOODEN SHELF,,Perfect,1,YOUTH ROOM,,Computer & Equipment
MMPZ,BIN BAGS,,Perfect,5,YOUTH ROOM,25.00,Computer & Equipment
MMPZ,VISITORS BLACK CHAIR,,Perfect,1,PROGRAMMS,80.00,Computer & Equipment
MMPZ,OFFICE DESKS,,Perfect,2,PROGRAMMS,200.00,Computer & Equipment
MMPZ,WOODEN SHELF,,Perfect,1,PROGRAMMS,120.00,Computer & Equipment
MMPZ,WOODEN CABINET,,Perfect,2,PROGRAMMS,75.00,Computer & Equipment
MMPZ,FLIP CHART STAND,,Perfect,1,ADMIN OFFICE,100.00,Computer & Equipment
MMPZ,OFFICE DESK,,Perfect,3,ADMIN OFFICE,250.00,Computer & Equipment
MMPZ,Branded Rubber stamp,,Perfect,1,ADMIN OFFICE,45.00,Computer & Equipment
MMPZ,Megaphone,,Perfect,1,ADMIN OFFICE,60.00,Computer & Equipment
MMPZ,6 KG Dumbells,,Perfect,2,SITE,30.00,Computer & Equipment
MMPZ,5 kg Dumbells,,Perfect,2,SITE,25.00,Computer & Equipment
MMPZ,4 kg Dumbells,,Perfect,2,SITE,15.00,Computer & Equipment
MMPZ,Gym mats,,Perfect,3,SITE,10.00,Computer & Equipment
MMPZ,Skipping ropes,,Perfect,3,SITE,5.00,Computer & Equipment
MMPZ,Portable examination couch,,Perfect,1,SITE,290.00,Computer & Equipment
MMPZ,Emergency Drug Trolley,,Perfect,1,SITE,320.00,Computer & Equipment
